time lick whlPos 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 1.000 0.000 
0.000 1.000 0.000 
0.000 1.000 0.000 
0.000 1.000 0.000 
0.000 1.000 0.000 
0.000 1.000 0.000 
0.000 1.000 0.000 
0.000 1.000 0.000 
0.000 1.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 1.000 0.000 
0.000 1.000 0.000 
0.000 1.000 0.000 
0.000 1.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 5.300 
0.000 0.000 9.800 
4.525 0.000 9.800 
4.581 0.000 9.800 
4.639 0.000 9.800 
4.694 0.000 9.800 
4.751 0.000 9.800 
4.808 0.000 9.800 
4.869 0.000 9.800 
4.912 0.000 9.800 
4.969 0.000 9.800 
5.023 0.000 9.800 
5.080 0.000 9.800 
5.132 0.000 9.800 
5.186 0.000 9.800 
5.240 0.000 9.800 
5.294 0.000 9.800 
5.350 0.000 9.800 
5.407 0.000 9.800 
5.461 0.000 9.800 
5.506 0.000 9.800 
5.564 0.000 9.800 
5.620 0.000 9.800 
5.679 0.000 9.800 
5.737 0.000 9.800 
5.791 0.000 9.800 
5.845 0.000 9.800 
5.902 0.000 9.800 
5.960 0.000 9.800 
6.019 0.000 9.800 
6.074 0.000 9.800 
6.130 0.000 9.800 
6.189 0.000 9.800 
6.246 0.000 9.800 
6.298 0.000 9.800 
6.359 0.000 9.800 
6.413 0.000 9.800 
6.470 0.000 9.800 
6.526 0.000 9.800 
6.570 0.000 9.800 
6.612 0.000 9.800 
6.671 0.000 9.800 
6.728 0.000 9.800 
6.782 0.000 9.800 
6.835 0.000 9.800 
6.889 0.000 9.800 
6.980 1.000 9.800 
7.066 1.000 9.800 
7.125 1.000 9.800 
7.186 1.000 9.800 
7.251 1.000 9.800 
7.323 0.000 9.800 
7.381 0.000 9.800 
7.427 0.000 9.800 
7.488 0.000 9.800 
7.542 0.000 9.800 
7.618 0.000 9.800 
7.674 0.000 9.800 
7.727 0.000 9.800 
7.780 0.000 9.800 
7.840 0.000 9.800 
7.898 0.000 9.800 
7.957 0.000 9.800 
8.009 0.000 9.800 
8.065 0.000 9.800 
8.121 0.000 9.800 
8.180 0.000 9.800 
8.237 0.000 9.800 
8.293 0.000 9.800 
8.350 0.000 9.800 
8.406 0.000 9.800 
8.464 0.000 9.800 
8.520 0.000 9.800 
8.576 0.000 9.800 
8.634 0.000 9.800 
8.678 0.000 9.800 
8.737 0.000 9.800 
8.794 0.000 9.800 
8.852 0.000 9.800 
8.907 0.000 9.800 
8.963 0.000 9.800 
9.037 0.000 9.800 
9.089 0.000 9.800 
9.144 0.000 9.800 
9.200 0.000 9.800 
9.255 0.000 9.800 
9.255 0.000 27.800 
9.255 0.000 27.800 
9.255 0.000 27.800 
9.255 0.000 27.800 
9.255 0.000 27.800 
9.255 0.000 27.800 
9.255 0.000 27.800 
9.255 0.000 27.800 
9.255 0.000 27.800 
9.255 0.000 27.800 
9.255 0.000 27.800 
9.255 0.000 27.800 
9.255 0.000 27.800 
9.255 0.000 27.800 
9.255 0.000 27.800 
9.255 0.000 27.800 
9.255 0.000 27.800 
9.255 0.000 28.100 
9.255 0.000 29.200 
9.255 0.000 32.000 
9.255 0.000 37.600 
10.390 0.000 37.600 
10.448 0.000 37.600 
10.506 0.000 37.600 
10.561 0.000 37.600 
10.618 0.000 37.600 
10.677 0.000 37.600 
10.733 0.000 37.600 
10.791 0.000 37.600 
10.834 0.000 37.600 
10.890 0.000 37.600 
10.964 0.000 37.600 
11.038 0.000 37.600 
11.120 1.000 37.600 
11.187 1.000 37.600 
11.246 0.000 37.600 
11.306 0.000 37.600 
11.364 0.000 37.600 
11.419 0.000 37.600 
11.477 0.000 37.600 
11.535 0.000 37.600 
11.589 0.000 37.600 
11.646 0.000 37.600 
11.702 0.000 37.600 
11.765 0.000 37.600 
11.821 0.000 37.600 
11.876 0.000 37.600 
11.931 0.000 37.600 
11.986 0.000 37.600 
12.039 0.000 37.600 
12.095 0.000 37.600 
12.149 0.000 37.600 
12.194 0.000 37.600 
12.249 0.000 37.600 
12.304 0.000 37.600 
12.361 0.000 37.600 
12.414 0.000 37.600 
12.471 0.000 37.600 
12.523 0.000 37.600 
12.578 0.000 37.600 
12.634 0.000 37.600 
12.688 0.000 37.600 
12.744 0.000 37.600 
12.789 0.000 37.600 
12.846 0.000 37.600 
12.901 0.000 37.600 
12.957 0.000 37.600 
13.011 0.000 37.600 
13.070 0.000 37.600 
13.126 0.000 37.600 
13.183 0.000 37.600 
13.183 0.000 41.500 
13.183 0.000 41.500 
13.183 0.000 41.500 
13.183 0.000 41.500 
13.183 0.000 41.500 
13.183 0.000 41.500 
13.183 0.000 41.500 
13.183 0.000 41.500 
13.183 0.000 41.500 
13.183 0.000 41.500 
13.183 0.000 41.500 
13.183 0.000 41.500 
13.183 0.000 41.500 
13.183 0.000 41.500 
13.183 0.000 41.500 
13.183 0.000 41.500 
13.183 0.000 41.500 
13.183 0.000 41.500 
13.183 0.000 41.500 
13.183 0.000 41.500 
13.183 0.000 41.500 
13.183 0.000 41.500 
13.183 0.000 41.500 
