time lick 
0.089 0.000 
0.144 0.000 
0.202 0.000 
0.259 0.000 
0.313 0.000 
0.371 0.000 
0.423 0.000 
0.480 0.000 
0.552 0.000 
0.608 0.000 
0.658 0.000 
0.714 0.000 
0.771 0.000 
0.826 0.000 
0.882 0.000 
0.936 0.000 
0.990 0.000 
1.044 0.000 
1.106 0.000 
1.162 0.000 
1.218 0.000 
1.271 0.000 
1.326 0.000 
1.381 0.000 
1.434 0.000 
1.490 0.000 
1.544 0.000 
1.600 0.000 
1.658 0.000 
1.712 0.000 
1.769 0.000 
1.826 0.000 
1.883 0.000 
1.944 0.000 
2.000 0.000 
2.056 0.000 
2.115 0.000 
2.170 0.000 
2.229 0.000 
2.288 0.000 
2.345 0.000 
2.399 0.000 
2.453 0.000 
2.505 0.000 
2.562 0.000 
2.618 0.000 
2.676 0.000 
2.731 0.000 
2.788 0.000 
2.862 1.000 
2.940 1.000 
2.996 0.000 
3.054 0.000 
3.111 0.000 
3.169 0.000 
3.307 0.000 
3.363 0.000 
3.419 0.000 
3.479 0.000 
3.540 0.000 
3.598 0.000 
3.654 0.000 
3.709 0.000 
3.762 0.000 
3.817 0.000 
3.876 0.000 
3.930 0.000 
4.037 1.000 
4.085 0.000 
4.123 0.000 
4.182 0.000 
4.243 0.000 
4.363 0.000 
4.418 0.000 
4.476 0.000 
4.519 0.000 
4.574 0.000 
4.629 0.000 
4.686 0.000 
4.742 0.000 
4.786 0.000 
4.841 0.000 
4.897 0.000 
4.955 0.000 
5.008 0.000 
5.065 0.000 
5.117 0.000 
5.180 0.000 
5.240 0.000 
5.297 0.000 
5.380 1.000 
5.430 0.000 
5.483 0.000 
5.540 0.000 
5.598 0.000 
5.716 0.000 
5.773 0.000 
5.827 0.000 
5.884 0.000 
5.957 0.000 
6.015 0.000 
6.069 0.000 
6.125 0.000 
6.181 0.000 
6.236 0.000 
6.291 0.000 
6.347 0.000 
6.422 1.000 
6.477 0.000 
6.535 0.000 
6.590 0.000 
6.645 0.000 
6.756 0.000 
6.811 0.000 
6.868 0.000 
6.925 0.000 
6.984 0.000 
7.037 0.000 
7.091 0.000 
7.147 0.000 
7.200 0.000 
7.257 0.000 
7.314 0.000 
7.369 0.000 
7.428 0.000 
7.484 0.000 
7.539 0.000 
7.620 1.000 
7.702 1.000 
7.765 0.000 
7.821 0.000 
7.880 0.000 
7.998 0.000 
8.055 0.000 
8.114 0.000 
8.158 0.000 
8.217 0.000 
8.272 0.000 
8.325 0.000 
8.381 0.000 
8.436 0.000 
8.492 0.000 
8.547 0.000 
8.598 0.000 
8.652 0.000 
8.726 0.000 
8.783 0.000 
8.839 0.000 
8.897 0.000 
8.937 0.000 
8.993 0.000 
9.048 0.000 
9.105 0.000 
9.158 0.000 
9.216 0.000 
9.274 0.000 
9.332 0.000 
9.387 0.000 
9.442 0.000 
9.496 0.000 
9.551 0.000 
9.608 0.000 
9.663 0.000 
9.719 0.000 
9.774 0.000 
9.816 0.000 
9.873 0.000 
9.934 0.000 
9.992 0.000 
10.045 0.000 
10.099 0.000 
10.156 0.000 
10.209 0.000 
10.265 0.000 
10.319 0.000 
10.376 0.000 
