time lick 
0.112 0.000 
0.163 0.000 
0.220 0.000 
0.276 0.000 
0.331 0.000 
0.387 0.000 
0.442 0.000 
0.487 0.000 
0.543 0.000 
0.602 0.000 
0.677 0.000 
0.732 0.000 
0.791 0.000 
0.849 0.000 
0.896 0.000 
0.936 0.000 
0.990 0.000 
1.036 0.000 
1.082 0.000 
1.139 0.000 
1.193 0.000 
1.244 0.000 
1.300 0.000 
1.357 0.000 
1.415 0.000 
1.515 0.000 
1.576 0.000 
1.630 0.000 
1.687 0.000 
1.739 0.000 
1.781 0.000 
1.841 0.000 
1.895 0.000 
1.938 0.000 
1.996 0.000 
2.053 0.000 
2.112 0.000 
2.160 0.000 
2.218 0.000 
2.272 0.000 
2.348 0.000 
2.405 0.000 
2.458 0.000 
2.504 0.000 
2.561 0.000 
2.613 0.000 
2.668 0.000 
2.721 0.000 
2.781 0.000 
2.834 0.000 
2.889 0.000 
2.950 0.000 
3.006 0.000 
3.067 0.000 
3.124 0.000 
3.184 0.000 
3.259 0.000 
3.317 0.000 
3.371 0.000 
3.429 0.000 
3.485 0.000 
3.542 0.000 
3.602 0.000 
3.658 0.000 
3.714 0.000 
3.771 0.000 
3.825 0.000 
3.881 0.000 
3.939 0.000 
3.995 0.000 
4.054 0.000 
4.131 0.000 
4.189 0.000 
4.249 0.000 
4.303 0.000 
4.365 0.000 
4.422 0.000 
4.514 0.000 
4.565 0.000 
4.626 0.000 
4.680 0.000 
4.736 0.000 
4.796 0.000 
4.851 0.000 
4.907 0.000 
4.964 0.000 
5.018 0.000 
5.078 0.000 
5.135 0.000 
5.195 0.000 
5.253 0.000 
5.300 0.000 
5.357 0.000 
5.411 0.000 
5.452 0.000 
5.515 0.000 
5.568 0.000 
5.643 0.000 
5.698 0.000 
5.755 0.000 
5.797 0.000 
5.858 0.000 
5.910 0.000 
5.967 0.000 
6.024 0.000 
6.089 0.000 
6.148 0.000 
6.205 0.000 
6.266 0.000 
6.319 0.000 
6.378 0.000 
6.434 0.000 
6.489 0.000 
6.548 0.000 
6.606 0.000 
6.663 0.000 
6.756 1.000 
6.820 0.000 
6.884 1.000 
6.960 1.000 
7.039 1.000 
7.116 1.000 
7.173 1.000 
7.232 1.000 
7.294 1.000 
7.366 0.000 
7.425 0.000 
7.495 0.000 
7.613 0.000 
7.670 0.000 
7.727 0.000 
7.782 0.000 
7.838 0.000 
7.928 1.000 
7.991 0.000 
8.051 0.000 
8.108 0.000 
8.248 1.000 
8.305 1.000 
8.357 0.000 
8.419 0.000 
8.474 0.000 
8.529 0.000 
8.666 1.000 
8.745 1.000 
8.795 0.000 
8.856 0.000 
8.914 0.000 
8.969 0.000 
9.111 1.000 
9.167 1.000 
9.230 1.000 
9.310 1.000 
9.367 1.000 
9.443 1.000 
9.504 1.000 
9.562 1.000 
9.623 1.000 
9.682 1.000 
9.748 1.000 
9.809 1.000 
9.878 1.000 
9.940 1.000 
9.992 0.000 
10.055 0.000 
10.112 0.000 
10.170 0.000 
10.308 1.000 
10.375 1.000 
10.435 1.000 
10.496 1.000 
10.567 1.000 
10.622 1.000 
10.702 1.000 
10.763 1.000 
10.842 1.000 
10.898 1.000 
10.963 1.000 
11.042 1.000 
11.106 1.000 
11.169 1.000 
11.234 1.000 
11.294 1.000 
11.357 1.000 
11.416 1.000 
11.479 1.000 
11.540 1.000 
11.605 1.000 
11.666 1.000 
11.730 1.000 
11.799 1.000 
11.860 1.000 
11.918 1.000 
11.979 1.000 
12.043 1.000 
12.103 0.000 
12.161 0.000 
12.225 1.000 
12.299 1.000 
12.359 1.000 
12.416 1.000 
12.477 1.000 
12.544 1.000 
12.607 1.000 
12.668 1.000 
12.735 1.000 
12.792 1.000 
12.843 0.000 
12.904 0.000 
12.958 0.000 
13.015 0.000 
13.142 0.000 
13.196 0.000 
13.254 0.000 
13.312 0.000 
13.366 0.000 
13.425 0.000 
13.481 0.000 
13.529 0.000 
13.588 0.000 
13.645 0.000 
13.701 0.000 
13.756 0.000 
13.830 0.000 
13.889 0.000 
13.945 0.000 
14.004 0.000 
14.062 0.000 
14.116 0.000 
14.172 0.000 
14.231 0.000 
14.284 0.000 
14.378 1.000 
14.465 1.000 
14.531 1.000 
14.593 1.000 
14.652 1.000 
14.717 1.000 
14.783 1.000 
14.847 1.000 
14.912 1.000 
14.976 1.000 
15.050 1.000 
15.105 1.000 
15.171 1.000 
15.221 0.000 
15.278 0.000 
15.331 0.000 
15.390 0.000 
15.525 0.000 
15.581 0.000 
15.638 0.000 
15.694 0.000 
15.751 0.000 
15.806 0.000 
15.863 0.000 
15.907 0.000 
15.966 0.000 
16.022 0.000 
16.080 0.000 
16.137 0.000 
16.192 0.000 
16.251 0.000 
16.308 0.000 
16.362 0.000 
16.418 0.000 
16.480 0.000 
16.546 0.000 
16.597 0.000 
16.655 0.000 
16.710 0.000 
16.822 1.000 
16.908 1.000 
16.965 1.000 
17.034 1.000 
17.094 1.000 
17.151 1.000 
