time lick whlPos 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 1.800 
0.000 0.000 6.300 
0.000 0.000 9.800 
8.890 0.000 9.800 
8.948 0.000 9.800 
9.006 0.000 9.800 
9.062 0.000 9.800 
9.119 0.000 9.800 
9.176 0.000 9.800 
9.234 0.000 9.800 
9.309 0.000 9.800 
9.363 0.000 9.800 
9.418 0.000 9.800 
9.472 0.000 9.800 
9.523 0.000 9.800 
9.578 0.000 9.800 
9.635 0.000 9.800 
9.692 0.000 9.800 
9.753 0.000 9.800 
9.812 0.000 9.800 
9.872 0.000 9.800 
9.930 0.000 9.800 
9.984 0.000 9.800 
10.039 0.000 9.800 
10.099 0.000 9.800 
10.161 0.000 9.800 
10.217 0.000 9.800 
10.275 0.000 9.800 
10.332 0.000 9.800 
10.389 0.000 9.800 
10.443 0.000 9.800 
10.499 0.000 9.800 
10.575 0.000 9.800 
10.632 0.000 9.800 
10.687 0.000 9.800 
10.743 0.000 9.800 
10.798 0.000 9.800 
10.857 0.000 9.800 
10.914 0.000 9.800 
10.971 0.000 9.800 
11.026 0.000 9.800 
11.084 0.000 9.800 
11.142 0.000 9.800 
11.197 0.000 9.800 
11.253 0.000 9.800 
11.312 0.000 9.800 
11.386 0.000 9.800 
11.439 0.000 9.800 
11.494 0.000 9.800 
11.551 0.000 9.800 
11.606 0.000 9.800 
11.662 0.000 9.800 
11.717 0.000 9.800 
11.771 0.000 9.800 
11.826 0.000 9.800 
11.881 0.000 9.800 
11.939 0.000 9.800 
11.996 0.000 9.800 
12.056 0.000 9.800 
12.110 0.000 9.800 
12.165 0.000 9.800 
12.222 0.000 9.800 
12.278 0.000 9.800 
12.333 0.000 9.800 
12.389 0.000 9.800 
12.447 0.000 9.800 
12.540 1.000 9.800 
12.614 1.000 9.800 
12.677 0.000 9.800 
12.732 0.000 9.800 
12.777 0.000 9.800 
12.837 0.000 9.800 
12.891 0.000 9.800 
12.949 0.000 9.800 
13.007 0.000 9.800 
13.061 0.000 9.800 
13.115 0.000 9.800 
13.171 0.000 9.800 
13.232 0.000 9.800 
13.288 0.000 9.800 
13.344 0.000 9.800 
13.407 0.000 9.800 
13.466 0.000 9.800 
13.520 0.000 9.800 
13.580 0.000 9.800 
13.637 0.000 9.800 
13.692 0.000 9.800 
13.747 0.000 9.800 
13.804 0.000 9.800 
13.861 0.000 9.800 
13.918 0.000 9.800 
13.973 0.000 9.800 
14.025 0.000 9.800 
14.078 0.000 9.800 
14.137 0.000 9.800 
14.191 0.000 9.800 
14.247 0.000 9.800 
14.305 0.000 9.800 
14.359 0.000 9.800 
14.433 0.000 9.800 
14.491 0.000 9.800 
14.543 0.000 9.800 
14.599 0.000 9.800 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.300 
14.599 0.000 24.600 
14.599 0.000 20.400 
14.599 0.000 15.100 
14.599 0.000 10.500 
19.439 0.000 10.500 
19.496 0.000 10.500 
19.552 0.000 10.500 
19.611 0.000 10.500 
19.666 0.000 10.500 
19.723 0.000 10.500 
19.782 0.000 10.500 
19.838 0.000 10.500 
19.953 0.000 10.500 
20.014 0.000 10.500 
20.070 0.000 10.500 
20.127 0.000 10.500 
20.180 0.000 10.500 
20.238 0.000 10.500 
20.294 0.000 10.500 
20.349 0.000 10.500 
20.406 0.000 10.500 
20.462 0.000 10.500 
20.518 0.000 10.500 
20.573 0.000 10.500 
20.629 0.000 10.500 
20.683 0.000 10.500 
20.737 0.000 10.500 
20.793 0.000 10.500 
20.850 0.000 10.500 
20.904 0.000 10.500 
20.959 0.000 10.500 
21.018 0.000 10.500 
21.075 0.000 10.500 
21.130 0.000 10.500 
21.189 0.000 10.500 
21.247 0.000 10.500 
21.301 0.000 10.500 
21.358 0.000 10.500 
21.413 0.000 10.500 
21.466 0.000 10.500 
21.523 0.000 10.500 
21.583 0.000 10.500 
21.639 0.000 10.500 
21.698 0.000 10.500 
21.757 0.000 10.500 
21.811 0.000 10.500 
21.887 0.000 10.500 
21.944 0.000 10.500 
21.996 0.000 10.500 
22.051 0.000 10.500 
22.107 0.000 10.500 
22.163 0.000 10.500 
22.215 0.000 10.500 
22.270 0.000 10.500 
22.323 0.000 10.500 
22.380 0.000 10.500 
22.438 0.000 10.500 
22.497 0.000 10.500 
22.551 0.000 10.500 
22.606 0.000 10.500 
22.663 0.000 10.500 
22.717 0.000 10.500 
22.772 0.000 10.500 
22.829 0.000 10.500 
22.905 0.000 10.500 
22.967 0.000 10.500 
23.028 0.000 10.500 
23.085 0.000 10.500 
23.140 0.000 10.500 
23.202 0.000 10.500 
23.259 0.000 10.500 
23.317 0.000 10.500 
23.370 0.000 10.500 
23.425 0.000 10.500 
23.484 0.000 10.500 
23.544 0.000 10.500 
23.588 0.000 10.500 
23.645 0.000 10.500 
23.699 0.000 10.500 
23.757 0.000 10.500 
23.812 0.000 10.500 
23.872 0.000 10.500 
23.929 0.000 10.500 
23.985 0.000 10.500 
24.042 0.000 10.500 
24.099 0.000 10.500 
24.154 0.000 10.500 
24.200 0.000 10.500 
24.244 0.000 10.500 
24.303 0.000 10.500 
24.358 0.000 10.500 
24.432 0.000 10.500 
24.485 0.000 10.500 
24.544 0.000 10.500 
24.601 0.000 10.500 
24.657 0.000 10.500 
24.711 0.000 10.500 
24.768 0.000 10.500 
24.842 0.000 10.500 
24.898 0.000 10.500 
24.953 0.000 10.500 
25.011 0.000 10.500 
25.067 0.000 10.500 
25.128 0.000 10.500 
25.188 0.000 10.500 
25.247 0.000 10.500 
25.301 0.000 10.500 
25.361 0.000 10.500 
25.417 0.000 10.500 
25.471 0.000 10.500 
25.526 0.000 10.500 
25.581 0.000 10.500 
25.639 0.000 10.500 
25.697 0.000 10.500 
25.754 0.000 10.500 
25.811 0.000 10.500 
25.884 0.000 10.500 
25.940 0.000 10.500 
26.015 0.000 10.500 
26.075 0.000 10.500 
26.122 0.000 10.500 
26.178 0.000 10.500 
26.233 0.000 10.500 
26.309 0.000 10.500 
26.366 0.000 10.500 
26.419 0.000 10.500 
26.476 0.000 10.500 
26.530 0.000 10.500 
26.588 0.000 10.500 
26.642 0.000 10.500 
26.702 0.000 10.500 
26.759 0.000 10.500 
26.815 0.000 10.500 
26.871 0.000 10.500 
26.926 0.000 10.500 
26.979 0.000 10.500 
27.035 0.000 10.500 
27.091 0.000 10.500 
27.138 0.000 10.500 
27.193 0.000 10.500 
27.247 0.000 10.500 
27.303 0.000 10.500 
27.359 0.000 10.500 
27.415 0.000 10.500 
27.468 0.000 10.500 
27.524 0.000 10.500 
27.577 0.000 10.500 
27.634 0.000 10.500 
27.690 0.000 10.500 
27.749 0.000 10.500 
27.810 0.000 10.500 
27.866 0.000 10.500 
27.923 0.000 10.500 
27.981 0.000 10.500 
28.038 0.000 10.500 
28.097 0.000 10.500 
28.151 0.000 10.500 
28.207 0.000 10.500 
28.265 0.000 10.500 
28.339 0.000 10.500 
28.393 0.000 10.500 
28.449 0.000 10.500 
28.504 0.000 10.500 
28.559 0.000 10.500 
28.616 0.000 10.500 
28.669 0.000 10.500 
28.725 0.000 10.500 
28.784 0.000 10.500 
28.857 0.000 10.500 
28.912 0.000 10.500 
28.966 0.000 10.500 
29.021 0.000 10.500 
29.075 0.000 10.500 
29.133 0.000 10.500 
29.187 0.000 10.500 
29.243 0.000 10.500 
29.300 0.000 10.500 
29.356 0.000 10.500 
29.408 0.000 10.500 
29.463 0.000 10.500 
29.520 0.000 10.500 
29.575 0.000 10.500 
29.630 0.000 10.500 
29.683 0.000 10.500 
29.739 0.000 10.500 
29.793 0.000 10.500 
29.850 0.000 10.500 
29.910 0.000 10.500 
29.966 0.000 10.500 
30.026 0.000 10.500 
