time lick 
0.127 0.000 
0.177 0.000 
0.232 0.000 
0.287 0.000 
0.343 0.000 
0.402 0.000 
0.476 0.000 
0.533 0.000 
0.588 0.000 
0.643 0.000 
0.698 0.000 
0.772 0.000 
0.827 0.000 
0.880 0.000 
0.935 0.000 
0.995 0.000 
1.057 0.000 
1.134 0.000 
1.187 0.000 
1.243 0.000 
1.298 0.000 
1.358 0.000 
1.411 0.000 
1.469 0.000 
1.525 0.000 
1.582 0.000 
1.638 0.000 
1.694 0.000 
1.748 0.000 
1.804 0.000 
1.858 0.000 
1.916 0.000 
1.977 0.000 
2.038 0.000 
2.094 0.000 
2.148 0.000 
2.200 0.000 
2.256 0.000 
2.309 0.000 
2.362 0.000 
2.416 0.000 
2.474 0.000 
2.567 0.000 
2.614 0.000 
2.680 1.000 
2.763 1.000 
2.834 1.000 
2.887 1.000 
2.964 1.000 
3.029 1.000 
3.095 1.000 
3.164 0.000 
3.222 0.000 
3.278 0.000 
3.337 0.000 
3.470 0.000 
3.525 0.000 
3.580 0.000 
3.638 0.000 
3.692 0.000 
3.747 0.000 
3.822 0.000 
3.881 0.000 
3.939 0.000 
3.995 0.000 
4.051 0.000 
4.111 0.000 
4.166 0.000 
4.224 0.000 
4.281 0.000 
4.336 0.000 
4.390 0.000 
4.443 0.000 
4.496 0.000 
4.585 1.000 
4.660 1.000 
4.715 1.000 
4.792 1.000 
4.853 1.000 
4.913 0.000 
4.973 0.000 
5.030 0.000 
5.090 0.000 
5.220 0.000 
5.278 0.000 
5.334 0.000 
5.394 0.000 
5.451 0.000 
5.542 0.000 
5.600 0.000 
5.655 0.000 
5.746 1.000 
5.834 1.000 
5.885 0.000 
5.940 0.000 
5.999 0.000 
6.053 0.000 
6.169 0.000 
6.224 0.000 
6.281 0.000 
6.340 0.000 
6.398 0.000 
6.458 0.000 
6.526 0.000 
6.586 0.000 
6.642 0.000 
6.699 0.000 
6.784 1.000 
6.859 1.000 
6.927 1.000 
6.989 1.000 
7.043 1.000 
7.103 1.000 
7.159 1.000 
7.223 1.000 
7.280 1.000 
7.360 1.000 
7.435 1.000 
7.498 1.000 
7.577 1.000 
7.627 0.000 
7.685 0.000 
7.741 0.000 
7.800 0.000 
7.915 0.000 
7.973 0.000 
8.031 0.000 
8.091 0.000 
8.148 0.000 
8.201 0.000 
8.258 0.000 
8.337 1.000 
8.418 1.000 
8.483 1.000 
8.552 1.000 
8.611 1.000 
8.666 1.000 
8.732 1.000 
8.811 1.000 
8.866 0.000 
8.912 0.000 
8.972 0.000 
9.029 0.000 
9.144 0.000 
9.202 0.000 
9.260 0.000 
9.322 0.000 
9.411 1.000 
9.486 1.000 
9.544 1.000 
9.624 1.000 
9.682 1.000 
9.759 1.000 
9.819 1.000 
9.876 1.000 
9.925 0.000 
9.983 0.000 
10.042 0.000 
10.097 0.000 
10.229 0.000 
10.287 0.000 
10.343 0.000 
10.399 0.000 
10.439 0.000 
10.496 0.000 
10.554 0.000 
10.610 0.000 
10.665 0.000 
10.709 0.000 
10.767 0.000 
10.824 0.000 
10.883 0.000 
10.940 0.000 
10.997 0.000 
11.053 0.000 
11.110 0.000 
11.163 0.000 
11.216 0.000 
11.270 0.000 
11.329 0.000 
11.385 0.000 
11.442 0.000 
11.515 0.000 
11.575 0.000 
11.636 0.000 
11.694 0.000 
11.749 0.000 
11.804 0.000 
11.860 0.000 
11.915 0.000 
11.971 0.000 
12.027 0.000 
12.079 0.000 
12.135 0.000 
12.193 0.000 
12.252 0.000 
12.308 0.000 
12.362 0.000 
12.420 0.000 
12.475 0.000 
12.530 0.000 
12.583 0.000 
12.635 0.000 
12.711 0.000 
